GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Wawi-Service-Layer,de.hrw.wi.business,StorageBin,0,15,0,0,0,6,0,3,0,3
Wawi-Service-Layer,de.hrw.wi.business,Product,29,22,3,1,10,8,6,3,4,3
Wawi-Service-Layer,de.hrw.wi.business,Warehouse,19,0,0,0,9,0,6,0,6,0
Wawi-Service-Layer,de.hrw.wi.service,WarehouseManagementService,9,169,0,18,5,35,5,14,5,5
